work_id,keyword_id,keyword_name,keyword_score
https://openalex.org/W2626218772,https://openalex.org/keywords/natural-language-generation,Natural Language Generation,0.588934
https://openalex.org/W2626218772,https://openalex.org/keywords/reinforcement-learning,Reinforcement Learning,0.539311
https://openalex.org/W2626218772,https://openalex.org/keywords/semantic-processing,Semantic Processing,0.537814
https://openalex.org/W2626218772,https://openalex.org/keywords/spoken-dialogue-systems,Spoken Dialogue Systems,0.523774
https://openalex.org/W2626218772,https://openalex.org/keywords/referring-expressions,Referring Expressions,0.519167
https://openalex.org/W3049079616,https://openalex.org/keywords/scheduling,Scheduling,0.635646
https://openalex.org/W3049079616,https://openalex.org/keywords/dynamic-scheduling,Dynamic Scheduling,0.623816
https://openalex.org/W3049079616,https://openalex.org/keywords/hybrid-optimization,Hybrid Optimization,0.585313
https://openalex.org/W3049079616,https://openalex.org/keywords/multi-objective,Multi-objective,0.506199
https://openalex.org/W2990782066,https://openalex.org/keywords/magnetic-properties,Magnetic Properties,0.504588
https://openalex.org/W2590399958,https://openalex.org/keywords/social-change,Social Change,0.438586
https://openalex.org/W2593574436,https://openalex.org/keywords/nonlinear-effects,Nonlinear Effects,0.56085
https://openalex.org/W2593574436,https://openalex.org/keywords/nonlinear-dynamics,Nonlinear Dynamics,0.537455
https://openalex.org/W2621147717,https://openalex.org/keywords/analog-circuit-fault-diagnosis,Analog Circuit Fault Diagnosis,0.576002
https://openalex.org/W2621147717,https://openalex.org/keywords/system-on-a-chip-test,System-on-a-Chip Test,0.528422
https://openalex.org/W2730214785,https://openalex.org/keywords/habitat-connectivity,Habitat Connectivity,0.452401
https://openalex.org/W2956985343,https://openalex.org/keywords/digital-twin,Digital Twin,0.500231
https://openalex.org/W2984401232,https://openalex.org/keywords/genetic-value-prediction,Genetic Value Prediction,0.484923
https://openalex.org/W2992574036,https://openalex.org/keywords/wave-gradiometry,Wave Gradiometry,0.460275
https://openalex.org/W3027219010,https://openalex.org/keywords/multi-object-spectroscopy,Multi-Object Spectroscopy,0.507678
https://openalex.org/W3033525909,https://openalex.org/keywords/eutrophication,Eutrophication,0.470115
https://openalex.org/W3095880966,https://openalex.org/keywords/terahertz-metamaterials,Terahertz Metamaterials,0.470502
https://openalex.org/W1504071604,https://openalex.org/keywords/regulations,Regulations,0.56368
https://openalex.org/W1504071604,https://openalex.org/keywords/financial-literacy,Financial Literacy,0.560684
https://openalex.org/W1504071604,https://openalex.org/keywords/banking,Banking,0.520467
https://openalex.org/W1504071604,https://openalex.org/keywords/financialization,Financialization,0.514598
https://openalex.org/W1504071604,https://openalex.org/keywords/systemic-risk,Systemic Risk,0.504545
https://openalex.org/W2223863190,https://openalex.org/keywords/knowledge-management,Knowledge Management,0.502505
https://openalex.org/W2522942155,https://openalex.org/keywords/material-modeling,Material Modeling,0.502423
https://openalex.org/W1512449872,https://openalex.org/keywords/agrarian-reform,Agrarian Reform,0.591465
https://openalex.org/W1512449872,https://openalex.org/keywords/higher-education,Higher Education,0.516171
https://openalex.org/W2734491642,https://openalex.org/keywords/educational-technology,Educational Technology,0.44907
https://openalex.org/W2776591473,https://openalex.org/keywords/psychoanalytic-models,Psychoanalytic Models,0.572771
https://openalex.org/W2776591473,https://openalex.org/keywords/social-interactions,social interactions,0.520375
https://openalex.org/W2776591473,https://openalex.org/keywords/interdisciplinary-collaboration,Interdisciplinary Collaboration,0.517787
https://openalex.org/W2776591473,https://openalex.org/keywords/emotions,Emotions,0.517041
https://openalex.org/W2776591473,https://openalex.org/keywords/modeling,Modeling,0.511545
https://openalex.org/W3011042239,https://openalex.org/keywords/right-to-the-city,Right to the City,0.464208
https://openalex.org/W3081298967,https://openalex.org/keywords/semantic-web,Semantic Web,0.673082
https://openalex.org/W3081298967,https://openalex.org/keywords/language-modeling,Language Modeling,0.612287
https://openalex.org/W3081298967,https://openalex.org/keywords/syntax-based-translation-models,Syntax-based Translation Models,0.586334
https://openalex.org/W3081298967,https://openalex.org/keywords/schema-matching,Schema Matching,0.581924
https://openalex.org/W3081298967,https://openalex.org/keywords/part-of-speech-tagging,Part-of-Speech Tagging,0.546356
https://openalex.org/W3111853992,https://openalex.org/keywords/quantitative-superstructure/activity-relationships,Quantitative Superstructure/Activity Relationships,0.423558
https://openalex.org/W4206863835,https://openalex.org/keywords/smart-sensors,Smart Sensors,0.611939
https://openalex.org/W4206863835,https://openalex.org/keywords/sensor-networking,Sensor Networking,0.565756
https://openalex.org/W4206863835,https://openalex.org/keywords/capacitive-sensors,Capacitive Sensors,0.555179
https://openalex.org/W4206863835,https://openalex.org/keywords/microcontroller-interfaces,Microcontroller Interfaces,0.503277
https://openalex.org/W4213402087,https://openalex.org/keywords/language-teaching,Language Teaching,0.567569
https://openalex.org/W4213402087,https://openalex.org/keywords/linguistic-variation,Linguistic Variation,0.55363
https://openalex.org/W4213402087,https://openalex.org/keywords/sociolinguistics,Sociolinguistics,0.537315
https://openalex.org/W4213402087,https://openalex.org/keywords/language-learning,Language Learning,0.536027
https://openalex.org/W4213402087,https://openalex.org/keywords/linguistic-historiography,Linguistic Historiography,0.53251
https://openalex.org/W4288290625,https://openalex.org/keywords/finite-element-analysis,Finite Element Analysis,0.61349
https://openalex.org/W4288290625,https://openalex.org/keywords/multilayered-structures,Multilayered Structures,0.587583
https://openalex.org/W4288290625,https://openalex.org/keywords/fiber-reinforced-composites,Fiber-Reinforced Composites,0.585124
https://openalex.org/W4288290625,https://openalex.org/keywords/composite-materials,Composite Materials,0.580666
https://openalex.org/W4288290625,https://openalex.org/keywords/fracture-mechanics,Fracture Mechanics,0.565249
https://openalex.org/W4294834922,https://openalex.org/keywords/nanopores,Nanopores,0.558832
https://openalex.org/W4294834922,https://openalex.org/keywords/nanoporous-metals,Nanoporous Metals,0.521942
https://openalex.org/W4296609127,https://openalex.org/keywords/ultrasound,Ultrasound,0.604137
https://openalex.org/W4296609127,https://openalex.org/keywords/nonlinear-ultrasonic-techniques,Nonlinear Ultrasonic Techniques,0.592293
https://openalex.org/W4296609127,https://openalex.org/keywords/ultrasonic-arrays,Ultrasonic Arrays,0.55777
https://openalex.org/W4296609127,https://openalex.org/keywords/ultrasound-elastography,Ultrasound Elastography,0.546533
https://openalex.org/W4296609127,https://openalex.org/keywords/power-ultrasound,Power Ultrasound,0.542724
https://openalex.org/W4299354708,https://openalex.org/keywords/plant-growth,Plant Growth,0.465487
https://openalex.org/W4389517346,https://openalex.org/keywords/cotton-genomics,Cotton Genomics,0.512713
https://openalex.org/W4389517346,https://openalex.org/keywords/genetic-heterogeneity,Genetic Heterogeneity,0.502432
https://openalex.org/W2527535321,https://openalex.org/keywords/risk-perception,Risk Perception,0.648352
https://openalex.org/W2527535321,https://openalex.org/keywords/risk-assessment,Risk Assessment,0.638183
https://openalex.org/W2527535321,https://openalex.org/keywords/safety-management,Safety Management,0.525695
https://openalex.org/W2527535321,https://openalex.org/keywords/organizational-culture,Organizational Culture,0.522889
https://openalex.org/W1485657080,https://openalex.org/keywords/learning,Learning,0.491102
https://openalex.org/W1512225683,https://openalex.org/keywords/archaeology,Archaeology,0.482046
https://openalex.org/W164477260,https://openalex.org/keywords/alcohol-dependence,Alcohol Dependence,0.57688
https://openalex.org/W2096562799,https://openalex.org/keywords/settlements,Settlements,0.466869
https://openalex.org/W1541412007,https://openalex.org/keywords/bim,BIM,0.549312
https://openalex.org/W1558164284,https://openalex.org/keywords/bim,BIM,0.506468
https://openalex.org/W1592104015,https://openalex.org/keywords/prototyping,Prototyping,0.56108
https://openalex.org/W1592104015,https://openalex.org/keywords/parametricism,Parametricism,0.55255
https://openalex.org/W1592104015,https://openalex.org/keywords/architectural-design,Architectural Design,0.540621
https://openalex.org/W1592104015,https://openalex.org/keywords/computational-design,Computational Design,0.518845
https://openalex.org/W1592104015,https://openalex.org/keywords/design-thinking,Design Thinking,0.504187
https://openalex.org/W1485695935,https://openalex.org/keywords/research,Research,0.410946
https://openalex.org/W1507299672,https://openalex.org/keywords/construction,Construction,0.505636
https://openalex.org/W1521840562,https://openalex.org/keywords/innovation-management,Innovation Management,0.425323
https://openalex.org/W1544190764,https://openalex.org/keywords/off-site-construction,Off-Site Construction,0.45384
https://openalex.org/W1548226197,https://openalex.org/keywords/leed-certification,LEED Certification,0.516255
https://openalex.org/W2177646052,https://openalex.org/keywords/spatial-analysis,Spatial Analysis,0.491185
https://openalex.org/W2192113874,https://openalex.org/keywords/case-study,Case Study,0.539324
https://openalex.org/W2192113874,https://openalex.org/keywords/evaluation,Evaluation,0.53458
https://openalex.org/W2470732000,https://openalex.org/keywords/case-study,Case Study,0.488881
https://openalex.org/W1480841948,https://openalex.org/keywords/sustainability,Sustainability,0.412072
https://openalex.org/W1490022342,https://openalex.org/keywords/sustainability,Sustainability,0.45471
https://openalex.org/W149113814,https://openalex.org/keywords/biotechnological-aspects,Biotechnological Aspects,0.479828
https://openalex.org/W1491221723,https://openalex.org/keywords/eco-friendly-practices,Eco-friendly Practices,0.46664
https://openalex.org/W1491846033,https://openalex.org/keywords/health,Health,0.431778
https://openalex.org/W1494486012,https://openalex.org/keywords/inclusion,Inclusion,0.43068
https://openalex.org/W1497931701,https://openalex.org/keywords/eco-friendly-practices,Eco-friendly Practices,0.500049
https://openalex.org/W1516632151,https://openalex.org/keywords/construction,Construction,0.485341
https://openalex.org/W1523610438,https://openalex.org/keywords/ergonomics,Ergonomics,0.532361
https://openalex.org/W1525481713,https://openalex.org/keywords/learning-methodology,Learning Methodology,0.547141
https://openalex.org/W1525481713,https://openalex.org/keywords/interdisciplinary-education,Interdisciplinary Education,0.50533
https://openalex.org/W1527977498,https://openalex.org/keywords/art-and-design,Art and Design,0.584719
https://openalex.org/W1527977498,https://openalex.org/keywords/innovations,Innovations,0.55596
https://openalex.org/W1527977498,https://openalex.org/keywords/design,Design,0.549797
https://openalex.org/W1527977498,https://openalex.org/keywords/learning-methodology,Learning Methodology,0.536301
https://openalex.org/W1527977498,https://openalex.org/keywords/arts,Arts,0.533729
https://openalex.org/W1534782515,https://openalex.org/keywords/construction,Construction,0.525156
https://openalex.org/W1534782515,https://openalex.org/keywords/off-site-construction,Off-Site Construction,0.516723
https://openalex.org/W1534782515,https://openalex.org/keywords/prefabrication,Prefabrication,0.502419
https://openalex.org/W1540474501,https://openalex.org/keywords/research-methods,Research Methods,0.472141
