a_id,countries
https://openalex.org/A5000000035,['']
https://openalex.org/A5000000201,['']
https://openalex.org/A5000001713,['']
https://openalex.org/A5000002130,['']
https://openalex.org/A5000003614,['']
https://openalex.org/A5000003750,['']
https://openalex.org/A5000003765,['']
https://openalex.org/A5000004140,['']
https://openalex.org/A5000004370,['']
https://openalex.org/A5000004659,['']
https://openalex.org/A5000005484,['']
https://openalex.org/A5000005675,['']
https://openalex.org/A5000006688,['']
https://openalex.org/A5000006781,['']
https://openalex.org/A5000007547,['']
https://openalex.org/A5000008128,['']
https://openalex.org/A5000008182,['']
https://openalex.org/A5000008335,['']
https://openalex.org/A5000009229,"[""'FR'"", '']"
https://openalex.org/A5000009404,['']
https://openalex.org/A5000009732,['']
https://openalex.org/A5000010556,['']
https://openalex.org/A5000011373,['']
https://openalex.org/A5000011427,['']
https://openalex.org/A5000013220,['']
https://openalex.org/A5000013244,['']
https://openalex.org/A5000013853,"[""'CN'""]"
https://openalex.org/A5000015009,['']
https://openalex.org/A5000015083,['']
https://openalex.org/A5000015114,['']
https://openalex.org/A5000015881,['']
https://openalex.org/A5000016103,['']
https://openalex.org/A5000016178,['']
https://openalex.org/A5000016229,['']
https://openalex.org/A5000016258,['']
https://openalex.org/A5000016305,['']
https://openalex.org/A5000016341,['']
https://openalex.org/A5000017713,['']
https://openalex.org/A5000017739,['']
https://openalex.org/A5000017939,['']
https://openalex.org/A5000021289,['']
https://openalex.org/A5000021690,['']
https://openalex.org/A5000021761,['']
https://openalex.org/A5000024085,['']
https://openalex.org/A5000024726,['']
https://openalex.org/A5000025555,"[""'SE'""]"
https://openalex.org/A5000025564,['']
https://openalex.org/A5000026439,['']
https://openalex.org/A5000027256,['']
https://openalex.org/A5000028655,['']
https://openalex.org/A5000028919,['']
https://openalex.org/A5000030491,['']
https://openalex.org/A5000031067,['']
https://openalex.org/A5000031658,['']
https://openalex.org/A5000031907,['']
https://openalex.org/A5000032487,['']
https://openalex.org/A5000032613,['']
https://openalex.org/A5000033093,['']
https://openalex.org/A5000033513,['']
https://openalex.org/A5000034204,['']
https://openalex.org/A5000035261,['']
https://openalex.org/A5000036247,['']
https://openalex.org/A5000036466,['']
https://openalex.org/A5000037205,['']
https://openalex.org/A5000038550,['']
https://openalex.org/A5000038669,['']
https://openalex.org/A5000038790,['']
https://openalex.org/A5000039395,['']
https://openalex.org/A5000040064,['']
https://openalex.org/A5000040678,['']
https://openalex.org/A5000041438,['']
https://openalex.org/A5000041576,['']
https://openalex.org/A5000041683,['']
https://openalex.org/A5000041849,['']
https://openalex.org/A5000042584,['']
https://openalex.org/A5000042999,['']
https://openalex.org/A5000043052,['']
https://openalex.org/A5000043225,['']
https://openalex.org/A5000043323,['']
https://openalex.org/A5000044537,['']
https://openalex.org/A5000044619,['']
https://openalex.org/A5000044759,['']
https://openalex.org/A5000045036,['']
https://openalex.org/A5000045054,['']
https://openalex.org/A5000045059,['']
https://openalex.org/A5000047097,['']
https://openalex.org/A5000047542,['']
https://openalex.org/A5000048687,"[""'FR'""]"
https://openalex.org/A5000049318,['']
https://openalex.org/A5000049907,['']
https://openalex.org/A5000049911,['']
https://openalex.org/A5000051502,['']
https://openalex.org/A5000052917,['']
https://openalex.org/A5000053607,['']
https://openalex.org/A5000053756,['']
https://openalex.org/A5000054133,['']
https://openalex.org/A5000054295,['']
https://openalex.org/A5000054298,['']
https://openalex.org/A5000054620,['']
https://openalex.org/A5000054886,['']
https://openalex.org/A5000057571,['']
https://openalex.org/A5000058220,['']
https://openalex.org/A5000059045,['']
https://openalex.org/A5000059104,['']
https://openalex.org/A5000059417,"[""'RU'""]"
https://openalex.org/A5000059512,['']
https://openalex.org/A5000059818,['']
https://openalex.org/A5000060813,['']
https://openalex.org/A5000060839,['']
https://openalex.org/A5000063855,['']
https://openalex.org/A5000064425,['']
https://openalex.org/A5000066166,['']
https://openalex.org/A5000066799,['']
https://openalex.org/A5000067056,['']
https://openalex.org/A5000068235,['']
https://openalex.org/A5000070421,['']
https://openalex.org/A5000071101,['']
https://openalex.org/A5000071577,['']
https://openalex.org/A5000072534,['']
https://openalex.org/A5000072678,['']
https://openalex.org/A5000073153,['']
https://openalex.org/A5000073983,"[""'RU'""]"
https://openalex.org/A5000076223,['']
https://openalex.org/A5000076810,['']
https://openalex.org/A5000078909,['']
https://openalex.org/A5000079751,"[""'CN'""]"
https://openalex.org/A5000081256,['']
https://openalex.org/A5000083030,['']
https://openalex.org/A5000083063,['']
https://openalex.org/A5000083148,['']
https://openalex.org/A5000083836,['']
https://openalex.org/A5000084490,['']
https://openalex.org/A5000085014,['']
https://openalex.org/A5000085549,"[""'TR'""]"
https://openalex.org/A5000086001,['']
https://openalex.org/A5000087484,['']
https://openalex.org/A5000087906,['']
https://openalex.org/A5000088256,['']
https://openalex.org/A5000088595,['']
https://openalex.org/A5000088984,['']
https://openalex.org/A5000089370,['']
https://openalex.org/A5000090506,['']
https://openalex.org/A5000090805,['']
https://openalex.org/A5000093268,['']
https://openalex.org/A5000094162,['']
https://openalex.org/A5000094599,['']
https://openalex.org/A5000095122,['']
https://openalex.org/A5000095124,['']
https://openalex.org/A5000096000,['']
https://openalex.org/A5000097036,['']
https://openalex.org/A5000097351,['']
https://openalex.org/A5000098520,['']
https://openalex.org/A5000098974,['']
https://openalex.org/A5000099112,['']
https://openalex.org/A5000099959,['']
https://openalex.org/A5000100027,"[""'US'""]"
https://openalex.org/A5000100931,['']
https://openalex.org/A5000101015,['']
https://openalex.org/A5000101073,['']
https://openalex.org/A5000101080,['']
https://openalex.org/A5000101435,['']
https://openalex.org/A5000101475,['']
https://openalex.org/A5000103312,['']
https://openalex.org/A5000103751,"[""'DZ'""]"
https://openalex.org/A5000104384,['']
https://openalex.org/A5000104755,['']
https://openalex.org/A5000105787,['']
https://openalex.org/A5000106513,['']
https://openalex.org/A5000107261,['']
https://openalex.org/A5000107445,['']
https://openalex.org/A5000108225,['']
https://openalex.org/A5000108433,['']
https://openalex.org/A5000108438,['']
https://openalex.org/A5000109087,['']
https://openalex.org/A5000109394,['']
https://openalex.org/A5000110348,['']
https://openalex.org/A5000111012,['']
https://openalex.org/A5000111248,['']
https://openalex.org/A5000112575,['']
https://openalex.org/A5000112960,['']
https://openalex.org/A5000113550,['']
https://openalex.org/A5000117108,['']
https://openalex.org/A5000118317,['']
https://openalex.org/A5000119000,['']
https://openalex.org/A5000119039,['']
https://openalex.org/A5000119620,['']
https://openalex.org/A5000119729,['']
https://openalex.org/A5000120104,['']
https://openalex.org/A5000120482,['']
https://openalex.org/A5000120902,['']
https://openalex.org/A5000121401,['']
https://openalex.org/A5000122509,['']
https://openalex.org/A5000123084,['']
https://openalex.org/A5000123355,['']
https://openalex.org/A5000123645,['']
https://openalex.org/A5000124225,['']
https://openalex.org/A5000126184,['']
https://openalex.org/A5000127114,['']
https://openalex.org/A5000128261,['']
https://openalex.org/A5000128280,['']
https://openalex.org/A5000130548,['']
https://openalex.org/A5000131126,['']
https://openalex.org/A5000131991,['']
https://openalex.org/A5000132128,['']
https://openalex.org/A5000133917,['']
https://openalex.org/A5000134894,['']
https://openalex.org/A5000136380,['']
https://openalex.org/A5000137106,['']
https://openalex.org/A5000137464,['']
https://openalex.org/A5000138084,['']
https://openalex.org/A5000138829,['']
https://openalex.org/A5000138857,"[""'FR'""]"
https://openalex.org/A5000139038,"[""'CN'""]"
https://openalex.org/A5000139981,['']
https://openalex.org/A5000140986,['']
https://openalex.org/A5000141184,['']
https://openalex.org/A5000141710,['']
https://openalex.org/A5000141783,['']
https://openalex.org/A5000142951,['']
https://openalex.org/A5000143567,['']
https://openalex.org/A5000143729,['']
https://openalex.org/A5000143990,['']
https://openalex.org/A5000144656,['']
https://openalex.org/A5000144680,['']
https://openalex.org/A5000145398,['']
https://openalex.org/A5000145486,['']
https://openalex.org/A5000145588,['']
https://openalex.org/A5000146089,['']
https://openalex.org/A5000146103,['']
https://openalex.org/A5000146569,['']
https://openalex.org/A5000146915,['']
https://openalex.org/A5000148489,['']
https://openalex.org/A5000148731,['']
https://openalex.org/A5000149282,['']
https://openalex.org/A5000149375,['']
https://openalex.org/A5000149721,['']
https://openalex.org/A5000149743,['']
https://openalex.org/A5000151332,['']
https://openalex.org/A5000151358,['']
https://openalex.org/A5000151365,['']
https://openalex.org/A5000152251,['']
https://openalex.org/A5000152293,['']
https://openalex.org/A5000152985,['']
https://openalex.org/A5000153459,['']
https://openalex.org/A5000154378,['']
https://openalex.org/A5000154439,['']
https://openalex.org/A5000154659,['']
https://openalex.org/A5000154891,['']
https://openalex.org/A5000155261,['']
https://openalex.org/A5000155540,['']
https://openalex.org/A5000155563,['']
https://openalex.org/A5000155837,['']
https://openalex.org/A5000156398,['']
https://openalex.org/A5000156773,"[""'FR'""]"
https://openalex.org/A5000157942,"[""'JP'""]"
https://openalex.org/A5000159228,['']
https://openalex.org/A5000159704,['']
https://openalex.org/A5000159974,['']
https://openalex.org/A5000160822,['']
https://openalex.org/A5000161171,['']
https://openalex.org/A5000161740,['']
https://openalex.org/A5000162227,['']
https://openalex.org/A5000162298,['']
https://openalex.org/A5000162377,"[""'FR'""]"
https://openalex.org/A5000162667,['']
https://openalex.org/A5000162679,"[""'CN'""]"
https://openalex.org/A5000162823,['']
https://openalex.org/A5000162896,['']
https://openalex.org/A5000162986,['']
https://openalex.org/A5000163145,['']
https://openalex.org/A5000164346,['']
https://openalex.org/A5000166701,['']
https://openalex.org/A5000167689,['']
https://openalex.org/A5000168624,['']
https://openalex.org/A5000169792,['']
https://openalex.org/A5000170439,['']
https://openalex.org/A5000170660,['']
https://openalex.org/A5000170733,['']
https://openalex.org/A5000170918,['']
https://openalex.org/A5000171876,['']
https://openalex.org/A5000172534,['']
https://openalex.org/A5000172698,['']
https://openalex.org/A5000172905,['']
https://openalex.org/A5000173536,['']
https://openalex.org/A5000173898,['']
https://openalex.org/A5000174340,['']
https://openalex.org/A5000175227,['']
https://openalex.org/A5000176878,['']
https://openalex.org/A5000176982,['']
https://openalex.org/A5000177690,['']
https://openalex.org/A5000177916,['']
https://openalex.org/A5000178282,['']
https://openalex.org/A5000179320,"[""'CN'""]"
https://openalex.org/A5000179757,['']
https://openalex.org/A5000182069,['']
